id,Submission_Date,Length,Nuc_Completeness,Geo_group,Country,Region,Host_taxon_name,Isolation_Source,Collection_Date
MW617452.1,2021-02-17,29821,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-02
MW617462.1,2021-02-17,29824,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-04
MW617465.1,2021-02-17,29859,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-03
MW617466.1,2021-02-17,29850,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-02
MW617471.1,2021-02-17,29879,partial,North America,USA,Wisconsin,Homo sapiens,oronasopharynx,2021-02-02
MW617475.1,2021-02-17,29852,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-04
MW617477.1,2021-02-17,29804,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-03
MW617479.1,2021-02-17,29810,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-04
MW617480.1,2021-02-17,29809,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-03
MW617481.1,2021-02-17,29873,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-02
MW617484.1,2021-02-17,29881,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-02
MW617488.1,2021-02-17,29862,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617490.1,2021-02-17,29838,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617497.1,2021-02-17,29874,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617499.1,2021-02-17,29848,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617500.1,2021-02-17,29879,partial,North America,USA,Wisconsin,Homo sapiens,oronasopharynx,2021-02-02
MW617509.1,2021-02-17,29848,partial,North America,USA,Florida,Homo sapiens,oronasopharynx,2021-02-02
MW617516.1,2021-02-17,29853,complete,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617521.1,2021-02-17,29879,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617522.1,2021-02-17,29853,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-03
MW617549.1,2021-02-17,29853,complete,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617556.1,2021-02-17,29857,complete,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617562.1,2021-02-17,29881,partial,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617563.1,2021-02-17,29878,complete,North America,USA,California,Homo sapiens,oronasopharynx,2021-02-02
MW617729.1,2021-02-17,29782,complete,North America,USA,Massachusetts,Homo sapiens,,2021-02-02
MW617735.1,2021-02-17,29782,complete,North America,USA,Massachusetts,Homo sapiens,,2021-02-02
MW600563.1,2021-02-16,29828,partial,North America,USA,California,Homo sapiens,,2021-02-02
MW600564.1,2021-02-16,29865,partial,North America,USA,California,Homo sapiens,,2021-02-02
MW600565.1,2021-02-16,29818,complete,North America,USA,California,Homo sapiens,,2021-02-02
MW600566.1,2021-02-16,29824,complete,North America,USA,California,Homo sapiens,,2021-02-02
MW600567.1,2021-02-16,29865,partial,North America,USA,California,Homo sapiens,,2021-02-02
MW600568.1,2021-02-16,29865,complete,North America,USA,California,Homo sapiens,,2021-02-02
MW600569.1,2021-02-16,29840,partial,North America,USA,California,Homo sapiens,,2021-02-02
MW600571.1,2021-02-16,29866,partial,North America,USA,California,Homo sapiens,,2021-02-03
MW600572.1,2021-02-16,29865,partial,North America,USA,California,Homo sapiens,,2021-02-09
MW600576.1,2021-02-16,29824,complete,North America,USA,California,Homo sapiens,,2021-02-02
